Tag ID Code Standard,ID Standard,Tag ID Code Sensor I,ID Sensor I,Tag ID Code Sensor II,ID Sensor II,Release Date,Tag Life,Expiration date,Tag Family,Tag Type,Channel,Primary Tagging Organization,Primary Researcher,Collaborators,Common Name,Scientific Name,Release Location,Pectoral T-bar,Dorsal T-bar,PIT tag,Dart tag,Roto/Flipper/Disc,Attachment method,Comments
A69-1601-30931,30931,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30932,30932,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30933,30933,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30934,30934,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30935,30935,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30936,30936,,,,,3/23/2012,890,8/30/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30937,30937,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30938,30938,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30939,30939,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30940,30940,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30941,30941,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30942,30942,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30943,30943,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30944,30944,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30945,30945,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30946,30946,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30947,30947,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30948,30948,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30949,30949,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30950,30950,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30951,30951,,,,,3/24/2012,890,8/31/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30952,30952,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30953,30953,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30954,30954,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30955,30955,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30956,30956,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30957,30957,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30958,30958,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30959,30959,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30960,30960,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30961,30961,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30962,30962,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30963,30963,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30964,30964,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30965,30965,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30966,30966,,,,,3/28/2012,890,9/4/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30967,30967,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30968,30968,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30969,30969,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30970,30970,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30971,30971,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30972,30972,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30973,30973,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30974,30974,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30975,30975,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30976,30976,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30977,30977,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30978,30978,,,,,5/15/2013,290,3/1/2014,V13-1L,,,North Carolina State University,Joshua K. Raabe,Joe Hightower,Flathead catfish,Pylodictis olivaris,Cape Fear River,,,64509374,,,Internal,Previously in Roanoke River striped bass
A69-1601-30978,30978,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30979,30979,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30980,30980,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30981,30981,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30982,30982,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30983,30983,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30984,30984,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30985,30985,,,,,4/3/2012,890,9/10/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30986,30986,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30987,30987,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30988,30988,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30989,30989,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30990,30990,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30991,30991,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30992,30992,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30993,30993,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30994,30994,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-30995,30995,,,,,4/19/2012,890,9/26/2014,V13-1L,Standard,,North Carolina State University,Joe Hightower,,Striped bass,Morone saxatilis,"Roanoke River, NC",,,,,,Internal,
A69-1601-31638,31638,,,,,7/31/2012,855,12/3/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31639,31639,,,,,7/31/2012,855,12/3/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31640,31640,,,,,7/31/2012,855,12/3/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31641,31641,,,,,8/4/2012,855,12/7/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31642,31642,,,,,8/4/2012,855,12/7/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31643,31643,,,,,8/4/2012,855,12/7/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31644,31644,,,,,8/10/2012,855,12/13/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31645,31645,,,,,8/10/2012,855,12/13/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31646,31646,,,,,8/10/2012,855,12/13/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31647,31647,,,,,8/11/2012,855,12/14/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31648,31648,,,,,8/11/2012,855,12/14/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31649,31649,,,,,8/11/2012,855,12/14/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31650,31650,,,,,8/11/2012,855,12/14/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31651,31651,,,,,8/11/2012,855,12/14/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31652,31652,,,,,8/12/2012,855,12/15/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31653,31653,,,,,8/12/2012,855,12/15/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31654,31654,,,,,8/15/2012,855,12/18/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
A69-1601-31655,31655,,,,,8/15/2012,855,12/18/2014,V16-5H,Standard,,Delaware State University,Dewayne Fox,James Kilfoil,Sand tiger shark,Carcharius taurus,Coastal Delaware,,,,,,External,
